BSSID,Channel,Privacy,Ciper,Auth,Power,ESSID,Lat,Lon
00:0F:66:BB:00:04,6,OPN,,,-73,linksys,,
00:0F:7D:3E:22:31,6,WPA2WPA,CCMP TKIP,PSK,-73,Impact,,
00:10:02:23:21:52,6,WPA2,CCMP,PSK,-57,Tracey's Volvo Hotspot,,
00:11:50:01:F0:49,11,WPA,TKIP,PSK,-81,belkin54g,,
00:12:17:1C:65:FB,6,OPN,,,-75,linksys,,
00:12:17:CB:0C:B5,6,OPN,,,-81,linksys,,
00:12:5F:11:DF:D2,6,OPN,,,-51,Liteshow4,,
00:13:10:1B:5E:52,8,WPA2,CCMP,PSK,-77,Ignition Youth,,
00:13:10:AA:10:AC,6,WPA2WPA,CCMP TKIP,PSK,-81,Moffitt,,
00:14:6A:73:C8:10,1,WPA,TKIP,PSK,-77,LFPD,,
00:14:95:93:84:C9,11,WPA,TKIP,PSK,-79,mewmewsyarn,,
00:14:BF:33:E3:02,8,WPA,TKIP,PSK,-77,linksys_SES_63574,,
00:15:FF:27:60:BC,11,WPA2,CCMP,PSK,-57,VaaH-105987,,
00:15:FF:8C:EF:99,1,WPA2,CCMP,PSK,-77,Verizon-MiFi5510L-EF99,,
00:15:FF:91:6E:56,11,WPA2,CCMP,PSK,-77,Verizon-4GLTE-BRV-6E56,,
00:15:FF:9C:E2:FC,11,WPA2,CCMP,PSK,-71,Verizon-MiFi6620L-E2FC,,
00:16:B6:36:13:65,6,WEP,WEP,,-81,romic,,
00:18:0A:27:D0:DC,6,WPA2WPA,CCMP TKIP,PSK,-59,None,,
00:18:0A:27:E0:08,11,WPA2WPA,CCMP TKIP,PSK,-81,None,,
00:18:0A:27:F0:58,6,WPA2WPA,CCMP TKIP,PSK,-53,None,,
00:18:0A:81:F0:A6,1,WPA2WPA,CCMP TKIP,PSK,-77,None,,
00:18:0A:81:F0:D4,6,WPA2WPA,CCMP TKIP,PSK,-71,None,,
00:18:0A:81:F8:3A,6,WPA2WPA,CCMP TKIP,PSK,-75,None,,
00:18:0A:81:FA:A0,11,WPA2WPA,CCMP TKIP,PSK,-73,None,,
00:18:0A:82:B9:DC,1,WPA2WPA,CCMP TKIP,PSK,-75,None,,
00:18:4D:91:E1:66,11,OPN,,,-67,ALIRE 1,,
00:18:E7:92:20:A7,1,WPA2WPA,CCMP TKIP,PSK,-73,Golf_Maint,,
00:18:F8:55:9C:25,11,WEP,WEP,,-83,HNetwork,,
00:19:5B:8C:A0:43,6,WPA2,CCMP,PSK,-79,SPS Office,,
00:19:E3:FB:F1:78,6,WPA2WPA,CCMP TKIP,PSK,-79,ochisnetwork,,
00:1A:DD:E8:6C:E4,1,WPA2WPA,CCMP TKIP,PSK,-65,None,,
00:1B:11:5E:F7:4B,3,WPA2WPA,CCMP TKIP,PSK,-73,SPS WIFI,,
00:1B:63:2B:39:2C,1,WPA2,CCMP,PSK,-63,Volcano,,
00:1C:10:08:4D:8E,6,WPA2,CCMP,PSK,-71,davidr,,
00:1C:10:08:CF:A0,6,WPA2,CCMP,PSK,-83,linksys,,
00:1C:D7:69:60:46,1,WPA2,CCMP,PSK,-77,SILVERCAR,,
00:1C:D7:70:66:64,1,WPA2,CCMP,PSK,-81,Audi04240,,
00:1C:DF:B8:AB:E1,3,WPA2WPA,CCMP TKIP,PSK,-73,ChorginHeadQuarter,,
00:1C:FB:FD:78:B0,3,WEP,WEP,,-71,qwest7008,,
00:1D:6A:B8:06:4D,6,WEP,WEP,,-73,default,,
00:1D:7E:49:EF:DC,9,WPA2,CCMP,PSK,-75,Client Wifi,,
00:1D:7E:69:EC:49,6,WPA2,CCMP,PSK,-79,linksys,,
00:1D:7E:DE:53:59,6,WPA2WPA,CCMP TKIP,PSK,-83,Connect Here,,
00:1D:CF:8B:6C:00,6,WPA2WPA,CCMP TKIP,PSK,-71,HOME-6C02,,
00:1D:D0:07:84:70,6,WPA2WPA,CCMP TKIP,PSK,-77,ARTvamp,,
00:1D:D0:1A:2D:10,1,WPA2WPA,CCMP TKIP,PSK,-77,HOME-2D12,,
00:1D:D0:1B:A4:30,1,WPA2WPA,CCMP TKIP,PSK,-77,HOME-A432,,
00:1D:D0:1D:98:50,1,WPA2WPA,CCMP TKIP,PSK,-75,HOME-9852,,
00:1D:D0:6F:96:10,11,WPA2WPA,CCMP TKIP,PSK,-71,HOME-9612,,
00:1D:D0:EA:24:10,1,WPA2WPA,CCMP TKIP,PSK,-71,HostWire,,
00:1D:D1:0A:09:B0,1,WPA2WPA,CCMP TKIP,PSK,-69,1445UnitA,,
00:1D:D1:1B:FC:C0,1,WPA2WPA,CCMP TKIP,PSK,-63,Chavez/Stowell,,
00:1D:D1:36:35:30,1,WPA2WPA,CCMP TKIP,PSK,-49,Gesar,,
00:1D:D1:77:39:E0,11,WPA2WPA,CCMP TKIP,PSK,-55,HOME-39E2,,
00:1D:D2:0E:6D:50,11,WPA2WPA,CCMP TKIP,PSK,-73,HOME-6D52,,
00:1D:D2:3F:55:00,11,WPA2WPA,CCMP TKIP,PSK,-75,Holly,,
00:1D:D2:61:0F:C0,1,WPA2WPA,CCMP TKIP,PSK,-75,HOME-0FC2,,
00:1D:D2:69:FE:40,1,WPA2WPA,CCMP TKIP,PSK,-67,HOME-FE42,,
00:1D:D3:0F:94:C0,6,WPA2WPA,CCMP TKIP,PSK,-75,CHOffice,,
00:1D:D3:A2:F3:A0,1,WPA2WPA,CCMP TKIP,PSK,-55,HOME-F3A2,,
00:1D:D3:AF:ED:50,6,WPA2WPA,CCMP TKIP,PSK,-61,HOME-ED52,,
00:1D:D3:FF:79:F0,6,WPA2WPA,CCMP TKIP,PSK,-79,HOME-79F2,,
00:1D:D4:3E:C1:10,11,WPA2WPA,CCMP TKIP,PSK,-71,revelation,,
00:1D:D4:8B:A3:F0,6,WPA2WPA,CCMP TKIP,PSK,-67,HOME-A3F2,,
00:1D:D5:20:73:50,11,WPA2WPA,CCMP TKIP,PSK,-73,HarperUnitA,,
00:1D:D5:87:9F:50,1,WPA2WPA,CCMP TKIP,PSK,-71,Boulder2,,
00:1D:D5:FA:E4:70,1,WPA2WPA,CCMP TKIP,PSK,-51,CobraCommandCenter,,
00:1D:D6:1C:A2:80,11,WPA2WPA,CCMP TKIP,PSK,-77,HOME-A282,,
00:1D:D6:1F:03:A0,6,WPA2WPA,CCMP TKIP,PSK,-77,Borjon,,
00:1D:D6:2D:16:B0,11,WPA2WPA,CCMP TKIP,PSK,-73,HOME-16B2,,
00:1D:D6:6A:FA:40,6,WPA2WPA,CCMP TKIP,PSK,-61,HOME-FA42,,
00:1D:D6:6C:08:60,1,WPA2WPA,CCMP TKIP,PSK,-75,HOME-0862,,
00:1D:D6:F0:41:F0,6,WPA2WPA,CCMP TKIP,PSK,-81,HOME-41F2,,
00:1E:2A:79:8F:1E,11,WPA,TKIP,PSK,-69,gurung,,
00:1E:2A:7A:09:52,1,WPA,TKIP,PSK,-59,Daves Network,,
00:1E:58:38:96:A3,6,WPA2WPA,CCMP TKIP,PSK,-73,Bosco,,
00:1E:E5:3A:60:48,6,WPA,TKIP,PSK,-71,linksys_SES_63424,,
00:1E:E5:46:CF:B6,6,WPA2WPA,CCMP TKIP,PSK,-73,LGI 2010,,
00:1E:E5:80:D2:CA,11,WPA2WPA,CCMP TKIP,PSK,-63,CFJ,,
00:1F:33:48:4D:DE,6,WPA,TKIP,PSK,-81,RustNet,,
00:1F:F3:03:46:BD,4,WPA2,CCMP,PSK,-75,Jwise21,,
00:21:29:88:9E:4F,11,WEP,WEP,,-65,Hlawatsch,,
00:21:E9:B7:67:6C,11,WPA2,CCMP,PSK,-61,ShadyPinesMa,,
00:22:10:AB:A5:40,1,WEP,WEP,,-69,qwest2480,,
00:22:10:B5:C9:00,1,WPA,TKIP,PSK,-77,PELROD1,,
00:22:2D:A9:AC:85,8,WPA2,CCMP,PSK,-71,sarah,,
00:22:6B:55:E4:B8,6,WPA,TKIP,PSK,-71,mallison2,,
00:22:6B:8B:F1:AC,6,WPA,TKIP,PSK,-71,blueparrot,,
00:22:75:14:02:8F,6,WPA,TKIP,PSK,-49,OH YA,,
00:22:AA:71:7E:20,6,WPA2WPA,CCMP TKIP,PSK,-77,FBI.Scan,,
00:23:12:FB:19:1D,7,WPA2WPA,CCMP TKIP,PSK,-61,Kenran Network,,
00:23:69:41:4F:70,11,WPA2,CCMP,PSK,-77,Bowbers,,
00:23:69:46:62:F5,6,WPA2WPA,CCMP TKIP,PSK,-63,Homer,,
00:23:69:F3:5B:41,6,WPA,TKIP,PSK,-79,megabytes,,
00:23:6C:BF:65:DB,6,WPA2,CCMP,PSK,-59,Centurion759*,,
00:23:75:1F:CB:70,1,WPA2WPA,CCMP TKIP,PSK,-77,qwest3328,,
00:23:75:25:75:B0,1,WEP,WEP,,-67,qwest4592,,
00:24:01:6A:B7:EC,1,WPA2WPA,CCMP TKIP,PSK,-73,Mountain Chai,,
00:24:01:6B:1B:0A,1,WPA2,CCMP,PSK,-77,AmberAir,,
00:24:01:CC:57:8C,2,WPA2WPA,CCMP TKIP,PSK,-77,None,,
00:24:36:99:E3:5D,9,WPA2,CCMP,PSK,-75,EEPnIRP,,
00:24:7B:0B:1D:76,1,WPA2WPA,CCMP TKIP,PSK,-55,myqwest8437,,
00:24:7B:0D:00:8E,11,WPA2WPA,CCMP TKIP,PSK,-67,seminole,,
00:24:7B:12:23:C6,6,WEP,WEP,,-67,qwest8805,,
00:24:7B:13:EF:C8,6,WPA2WPA,CCMP TKIP,PSK,-81,leoc,,
00:24:7B:23:A8:DA,6,WPA2WPA,CCMP TKIP,PSK,-77,herbnerds,,
00:24:7B:27:D2:C4,11,WPA2WPA,CCMP TKIP,PSK,-75,RBAVS,,
00:24:7B:29:5C:CC,1,WPA2WPA,CCMP TKIP,PSK,-69,OldFriends,,
00:24:7B:29:87:4A,6,WPA2WPA,CCMP TKIP,PSK,-79,WhisperBiscuit,,
00:24:7B:2A:AD:D4,5,WEP,WEP,,-75,Jeannie,,
00:24:7B:2F:98:7E,1,WPA2WPA,CCMP TKIP,PSK,-67,louisvilletire,,
00:24:7B:5D:91:E0,1,WPA2WPA,CCMP TKIP,PSK,-69,myqwest2191,,
00:24:7B:64:91:BA,6,WPA2WPA,CCMP TKIP,PSK,-69,myqwest0905,,
00:24:7B:65:16:E0,1,WPA2WPA,CCMP TKIP,PSK,-71,myqwest4991,,
00:24:7B:71:E0:28,1,WPA2WPA,CCMP TKIP,PSK,-71,Grammbab,,
00:24:7B:73:06:5E,1,WPA2WPA,CCMP TKIP,PSK,-73,netgear123,,
00:24:7B:73:85:D2,6,WPA2WPA,CCMP TKIP,PSK,-75,spbMA,,
00:24:7B:78:B6:F0,1,WPA2WPA,CCMP TKIP,PSK,-73,myqwest1151,,
00:24:7B:7E:9F:8C,11,WPA2WPA,CCMP TKIP,PSK,-69,FordyceAutoCenter,,
00:24:7B:A0:59:96,11,WPA2WPA,CCMP TKIP,PSK,-79,KINTZELS,,
00:24:7B:A2:7A:3A,7,WPA2WPA,CCMP TKIP,PSK,-69,myqwest8121,,
00:24:7B:A9:A0:82,11,WPA,TKIP,PSK,-71,myqwest6673,,
00:24:7B:B4:CB:B2,11,WPA2WPA,CCMP TKIP,PSK,-81,finnegan6731,,
00:24:7B:B6:FA:BA,11,WPA2WPA,CCMP TKIP,PSK,-75,myqwest1737,,
00:24:7B:B6:FA:BB,11,WPA2WPA,CCMP TKIP,PSK,-75,myqwest1738,,
00:24:7B:DE:37:A4,11,WPA2WPA,CCMP TKIP,PSK,-69,myqwest2963,,
00:24:7B:F3:79:BC,11,WPA,TKIP,PSK,-79,oneearth,,
00:24:7B:FB:DA:4C,11,WPA2WPA,CCMP TKIP,PSK,-75,dusan1,,
00:24:7B:FE:8D:B0,9,WPA2WPA,CCMP TKIP,PSK,-77,Front,,
00:24:B2:14:4F:A0,1,OPN,,,-67,NETGEAR,,
00:24:B2:62:16:62,2,WPA,TKIP,PSK,-47,Jill,,
00:24:B2:7C:E0:F4,11,WPA,TKIP,PSK,-69,Vogelsberg,,
00:24:B2:80:DA:A0,11,OPN,,,-71,locomix,,
00:24:B2:98:23:9C,6,WPA2,CCMP,PSK,-81,BOWILINK,,
00:24:B2:9E:9F:D8,8,WPA2WPA,CCMP TKIP,PSK,-79,cousins,,
00:24:B2:BF:DE:AC,11,WPA,TKIP,PSK,-61,sierra,,
00:24:B2:D5:94:8A,1,WPA2,CCMP,PSK,-77,N47FOR0W,,
00:25:9C:79:60:38,1,WPA2,CCMP,PSK,-81,hzwireless,,
00:25:9C:C9:86:5D,6,WPA2WPA,CCMP TKIP,PSK,-79,Shawn's Computer Repairs,,
00:25:BC:89:D5:CF,1,WPA2,CCMP,PSK,-77,Wendy's Wi-Fi Network,,
00:26:75:BD:90:4E,1,WPA2,CCMP,PSK,-77,mccabe,,
00:26:82:C5:C0:49,1,WPA2,CCMP,PSK,-65,AlsPlace,,
00:26:88:E8:AF:B8,6,WPA2WPA,CCMP TKIP,PSK,-71,myqwest4869,,
00:26:B4:3C:FA:9A,1,WPA2WPA,CCMP TKIP,PSK,-69,SYNC_00000000,,
00:26:B8:74:B8:C5,6,WPA2WPA,CCMP TKIP,PSK,-79,flattop,,
00:26:B8:7D:42:CE,6,WPA2WPA,CCMP TKIP,PSK,-73,stevedee,,
00:26:B8:7E:34:15,6,WPA2WPA,CCMP TKIP,PSK,-67,Samandbeanetwork1,,
00:26:BB:74:4D:2B,8,WPA2,CCMP,PSK,-69,None,,
00:26:BB:74:83:C5,11,WPA2WPA,CCMP TKIP,PSK,-75,None,,
00:26:BB:79:BF:FF,6,WPA2,CCMP,PSK,-69, Michael Laage's Network,,
00:26:F2:03:10:98,6,WPA,TKIP,PSK,-55,stalhuth,,
00:26:F2:17:4B:4E,1,WPA2WPA,CCMP TKIP,PSK,-73,BIGHOUSE,,
00:26:F2:8E:71:E9,3,WPA2WPA,CCMP TKIP,PSK,-59,NETGEAR,,
00:26:F2:96:55:17,1,WPA2,CCMP,PSK,-77,MFF9KYJG,,
00:26:F2:96:7E:89,11,WPA2,CCMP,PSK,-83,4337CK6M,,
00:26:F2:96:AE:25,1,WPA2,CCMP,PSK,-65,C6L27EO2,,
00:26:F2:96:B3:39,2,WPA2WPA,CCMP TKIP,PSK,-77,kumquat,,
00:26:F3:40:85:38,6,WPA2WPA,CCMP TKIP,PSK,-83,HOME-8538,,
00:26:F3:40:85:39,6,WPA2,CCMP,PSK,-81,None,,
00:26:F3:55:E8:28,6,WPA2WPA,CCMP TKIP,PSK,-63,HOME-E828,,
00:26:F3:55:E8:29,6,WPA2,CCMP,PSK,-61,None,,
00:26:F3:55:E8:2A,6,WPA2WPA,CCMP TKIP,PSK,-63,None,,
00:26:F3:55:E8:2B,6,WPA2WPA,CCMP TKIP,PSK,-61,None,,
00:26:F3:70:DB:D8,2,WPA2WPA,CCMP TKIP,PSK,-51,HOME-DBD8,,
00:26:F3:70:DB:D9,2,WPA2,CCMP,PSK,-53,None,,
00:26:F3:70:DB:DA,2,WPA2WPA,CCMP TKIP,PSK,-51,None,,
00:26:F3:70:DB:DB,2,WPA2WPA,CCMP TKIP,PSK,-51,None,,
00:26:F3:7E:0E:98,11,WPA2WPA,CCMP TKIP,PSK,-67,VanDuym,,
00:26:F3:7E:0E:99,11,WPA2,CCMP,PSK,-65,None,,
00:26:F3:7E:0E:9A,11,WPA2WPA,CCMP TKIP,PSK,-65,None,,
00:26:F3:7E:0E:9B,11,WPA2WPA,CCMP TKIP,PSK,-65,None,,
00:26:F3:88:1D:69,10,WPA2,CCMP,PSK,-81,None,,
00:26:F3:88:1D:6A,10,WPA2WPA,CCMP TKIP,PSK,-63,None,,
00:26:F3:88:1D:6B,10,WPA2WPA,CCMP TKIP,PSK,-73,None,,
00:27:22:02:D4:AA,1,WPA2WPA,CCMP TKIP,PSK,-79,None,,
00:27:22:3E:68:E1,11,OPN,,,-85,MRIC-Labelle-11b-1,,
00:27:22:4C:58:9C,7,OPN,,,-61,ubnt,,
00:30:44:13:8D:4A,11,WPA2,CCMP,PSK,-79,Steely,,
00:30:44:16:FE:DC,6,WPA2,CCMP,PSK,-75,SHANIDIN,,
00:30:44:21:F4:CD,6,WPA2,CCMP,PSK,-71,Scott's WiFi Extranvaganza,,
00:35:1A:DB:E3:90,1,WPA2,CCMP,PSK,-75,YMCA-Guest,,
00:71:C2:59:F5:08,11,WPA2WPA,CCMP TKIP,PSK,-67,HOME-4B91-2.4,,
00:71:C2:59:F5:09,11,WPA2WPA,CCMP TKIP,PSK,-71,None,,
00:71:C2:59:F5:0A,11,OPN,,,-75,xfinitywifi,,
00:71:C2:5E:1D:48,6,WPA2WPA,CCMP TKIP,PSK,-81,VOLS-2.4,,
00:71:C2:63:DD:58,11,WPA2WPA,CCMP TKIP,PSK,-63,HOME-8CE9-2.4,,
00:71:C2:63:DD:59,11,WPA2WPA,CCMP TKIP,PSK,-61,None,,
00:71:C2:63:DD:5A,11,OPN,,,-61,xfinitywifi,,
00:71:C2:72:13:18,6,WPA2WPA,CCMP TKIP,PSK,-59,DownUnderG-2.4,,
00:71:C2:72:13:1A,6,OPN,,,-63,xfinitywifi,,
00:71:C2:72:1F:28,6,WPA2WPA,CCMP TKIP,PSK,-69,CBCI-5BA1-2.4,,
00:71:C2:7B:D0:E8,6,WPA2WPA,CCMP TKIP,PSK,-79,HOME-C274-2.4,,
00:71:C2:7B:D0:E9,6,WPA2WPA,CCMP TKIP,PSK,-77,None,,
00:71:C2:88:01:68,1,WPA2WPA,CCMP TKIP,PSK,-75,CBCI-F101-2.4,,
00:71:C2:88:01:6A,1,OPN,,,-75,xfinitywifi,,
00:71:C2:93:6F:70,6,WPA2WPA,CCMP TKIP,PSK,-69,HOME-1CA3-2.4,,
00:71:C2:93:6F:72,6,OPN,,,-69,xfinitywifi,,
00:71:C2:9F:9F:52,11,OPN,,,-53,xfinitywifi,,
00:71:C2:A7:24:B1,6,WPA2WPA,CCMP TKIP,PSK,-71,None,,
00:71:C2:A7:24:B2,6,OPN,,,-65,xfinitywifi,,
00:71:C2:AA:C3:50,6,WPA2WPA,CCMP TKIP,PSK,-65,HOME-9FB8-2.4,,
00:71:C2:AA:C3:51,6,WPA2WPA,CCMP TKIP,PSK,-71,None,,
00:71:C2:AA:C3:52,6,OPN,,,-69,xfinitywifi,,
00:71:C2:AD:AB:E0,1,WPA2WPA,CCMP TKIP,PSK,-59,HOME-36B5-2.4,,
00:71:C2:AD:AB:E1,1,WPA2WPA,CCMP TKIP,PSK,-65,None,,
00:71:C2:AD:AB:E2,1,OPN,,,-61,xfinitywifi,,
00:71:C2:B2:1F:68,6,WPA2WPA,CCMP TKIP,PSK,-67,HOME-135C-2.4,,
00:71:C2:B2:1F:69,6,WPA2WPA,CCMP TKIP,PSK,-67,None,,
00:71:C2:B2:1F:6A,6,OPN,,,-69,xfinitywifi,,
00:71:C2:B3:08:28,11,WPA2WPA,CCMP TKIP,PSK,-79,HOME-DBAD-2.4,,
00:71:C2:B3:08:29,11,WPA2WPA,CCMP TKIP,PSK,-79,None,,
00:71:C2:B3:08:2A,11,OPN,,,-81,xfinitywifi,,
00:71:C2:BB:A4:50,1,WPA2WPA,CCMP TKIP,PSK,-67,HOME-8BE6-2.4,,
00:71:C2:BB:A4:51,1,WPA2WPA,CCMP TKIP,PSK,-65,None,,
00:71:C2:BB:A4:52,1,OPN,,,-65,xfinitywifi,,
00:71:C2:C6:91:2A,11,OPN,,,-81,xfinitywifi,,
00:71:C2:C9:24:88,7,WPA2WPA,CCMP TKIP,PSK,-75,HOMEWIFI-2.4,,
00:71:C2:C9:24:8A,7,OPN,,,-71,xfinitywifi,,
00:71:C2:C9:E2:E8,1,WPA2WPA,CCMP TKIP,PSK,-79,GoldenHoof,,
00:71:C2:C9:E2:E9,1,WPA2WPA,CCMP TKIP,PSK,-75,None,,
00:71:C2:C9:E2:EA,1,OPN,,,-79,xfinitywifi,,
00:71:C2:CA:BA:78,6,WPA2WPA,CCMP TKIP,PSK,-75,HOME-C6D4-2.4,,
00:71:C2:CA:BA:79,6,WPA2WPA,CCMP TKIP,PSK,-77,None,,
00:71:C2:D2:50:90,1,WPA2WPA,CCMP TKIP,PSK,-71,HOME-996B-2.4,,
00:71:C2:D2:50:91,1,WPA2WPA,CCMP TKIP,PSK,-73,None,,
00:71:C2:D2:50:92,1,OPN,,,-73,xfinitywifi,,
00:71:C2:D9:18:68,6,WPA2WPA,CCMP TKIP,PSK,-61,HOME-AFC5-2.4,,
00:71:C2:D9:18:69,6,WPA2WPA,CCMP TKIP,PSK,-59,None,,
00:71:C2:D9:18:6A,6,OPN,,,-59,xfinitywifi,,
00:71:C2:E0:97:88,11,WPA2WPA,CCMP TKIP,PSK,-73,Martinez,,
00:71:C2:E0:97:8A,11,OPN,,,-79,xfinitywifi,,
00:71:C2:EB:44:20,11,WPA2WPA,CCMP TKIP,PSK,-69,PARKER-2.4,,
00:71:C2:EB:44:21,11,WPA2WPA,CCMP TKIP,PSK,-73,None,,
00:71:C2:EB:44:22,11,OPN,,,-69,xfinitywifi,,
00:71:C2:F2:1A:A8,1,WPA2WPA,CCMP TKIP,PSK,-71,HOME-CBA5-2.4,,
00:71:C2:F2:1A:A9,1,WPA2WPA,CCMP TKIP,PSK,-75,None,,
00:71:C2:F2:1A:AA,1,OPN,,,-69,xfinitywifi,,
00:71:C2:F6:82:18,6,WPA2WPA,CCMP TKIP,PSK,-57,HOME-D579-2.4,,
00:71:C2:F6:82:19,6,WPA2WPA,CCMP TKIP,PSK,-61,None,,
00:71:C2:F6:82:1A,6,OPN,,,-63,xfinitywifi,,
00:71:C2:F6:FC:18,11,WPA2WPA,CCMP TKIP,PSK,-63,HOME-7996-2.4,,
00:71:C2:F6:FC:19,11,WPA2WPA,CCMP TKIP,PSK,-65,None,,
00:71:C2:F6:FC:1A,11,OPN,,,-65,xfinitywifi,,
00:71:C2:F7:9F:48,6,WPA2WPA,CCMP TKIP,PSK,-73,HOME-AC72-2.4,,
00:71:C2:F7:9F:49,6,WPA2WPA,CCMP TKIP,PSK,-71,None,,
00:71:C2:F8:65:B2,1,OPN,,,-61,xfinitywifi,,
00:71:C2:F8:73:A8,11,WPA2WPA,CCMP TKIP,PSK,-57,CBCI-A7E3-2.4,,
00:71:C2:F8:73:AA,11,OPN,,,-49,xfinitywifi,,
00:71:C2:F8:80:88,6,WPA2WPA,CCMP TKIP,PSK,-69,CBCI-041B-2.4,,
00:71:C2:F8:80:8A,6,OPN,,,-69,xfinitywifi,,
00:71:C2:F9:B6:D0,1,WPA2WPA,CCMP TKIP,PSK,-71,CBCI-1D5F-2.4,,
00:71:C2:F9:B6:D2,1,OPN,,,-73,xfinitywifi,,
00:AC:E0:53:91:C0,1,WPA2WPA,CCMP TKIP,PSK,-65,HOME-91C2,,
00:AC:E0:75:CF:80,1,WPA2WPA,CCMP TKIP,PSK,-73,HOME-CF82,,
00:AC:E0:E2:10:30,11,WPA2WPA,CCMP TKIP,PSK,-71,HOME-1032,,
00:F7:6F:CD:97:C6,6,WPA2,CCMP,PSK,-75,Lauric Base,,
02:18:4A:2F:99:A1,1,WPA2WPA,CCMP TKIP,PSK,-79,Balfour_Guest,,
02:18:4A:2F:99:A3,1,WPA2WPA,CCMP TKIP,PSK,-77,fpos,,
02:1D:CF:8B:6C:00,6,WPA2,CCMP,PSK,-73,None,,
02:1D:D0:07:84:70,6,WPA2,CCMP,PSK,-81,None,,
02:1D:D0:08:D0:B0,11,WPA2,CCMP,PSK,-85,None,,
02:1D:D0:1A:2D:10,1,WPA2,CCMP,PSK,-75,None,,
02:1D:D0:1D:98:50,1,WPA2,CCMP,PSK,-77,None,,
02:1D:D0:6F:96:10,11,WPA2,CCMP,PSK,-73,None,,
02:1D:D0:EA:24:10,1,WPA2,CCMP,PSK,-75,None,,
02:1D:D1:0A:09:B0,1,WPA2,CCMP,PSK,-65,None,,
02:1D:D1:1B:FC:C0,1,WPA2,CCMP,PSK,-61,None,,
02:1D:D1:36:35:30,1,WPA2,CCMP,PSK,-55,None,,
02:1D:D1:76:98:B0,6,WPA2,CCMP,PSK,-85,None,,
02:1D:D1:77:39:E0,11,WPA2,CCMP,PSK,-57,None,,
02:1D:D2:0E:6D:50,11,WPA2,CCMP,PSK,-73,None,,
02:1D:D2:3F:55:00,11,WPA2,CCMP,PSK,-75,None,,
02:1D:D2:61:0F:C0,1,WPA2,CCMP,PSK,-77,None,,
02:1D:D2:69:D2:50,1,WPA2,CCMP,PSK,-65,None,,
02:1D:D2:69:FE:40,1,WPA2,CCMP,PSK,-69,None,,
02:1D:D3:0F:94:C0,6,WPA2,CCMP,PSK,-71,None,,
02:1D:D3:52:30:F0,11,WPA2,CCMP,PSK,-87,None,,
02:1D:D3:A2:F3:A0,1,WPA2,CCMP,PSK,-55,None,,
02:1D:D3:AF:ED:50,6,WPA2,CCMP,PSK,-59,None,,
02:1D:D4:3E:C1:10,11,WPA2,CCMP,PSK,-73,None,,
02:1D:D4:8B:A3:F0,6,WPA2,CCMP,PSK,-65,None,,
02:1D:D4:8D:1D:20,11,WPA2,CCMP,PSK,-79,None,,
